Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Madden NFL 2001,PS2,2000,Sports,1.19,0.07,0.05,0.2,1.5,91,25,7.7,7,E
Ridge Racer V,PS2,2000,Action,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6,E
The Bouncer,PS2,2000,Action,0.3,0.23,0.38,0.08,0.99,66,20,8,35,T
Kessen,PS2,2000,Strategy,0.27,0.21,0.41,0.07,0.95,75,20,8.4,12,T
Armored Core 2,PS2,2000,Simulation,0.28,0.22,0.23,0.07,0.79,78,23,8.4,19,T
Gran Turismo 2,PS,1999,Racing,3.88,3.42,1.69,0.5,9.49,93,23,9,135,T
Final Fantasy VIII,PS,1999,Role-Playing,2.28,1.72,3.63,0.23,7.86,90,24,8.6,658,T
Driver,PS,1999,Action,3.11,2.8,0.02,0.33,6.27,87,22,8,81,T
Crash Team Racing,PS,1999,Racing,2.57,1.57,0.44,0.21,4.79,88,20,9,239,E
Metal Gear Solid,PS,1998,Action,3.18,1.83,0.78,0.24,6.03,94,20,9.4,934,M
